Session ID,Start Date Time,Type,Host,Student Number
SES-1001,2026-03-03 09:15:00,Online,Alex Rivera (Volunteer),S1001
SES-1002,2026-03-03 10:00:00,In-person,Jordan Lee,S1002
SES-1003,2026-03-04 13:30:00,Online,Alex Rivera (Volunteer),S1003
SES-1004,2026-03-05 15:00:00,Online,,S1001
SES-1005,2026-03-06 11:00:00,In-person,Priya Shah,S1004
SES-1006,2026-03-10 09:00:00,Online,Jordan Lee,S1005
SES-1007,2026-03-12 14:15:00,In-person,Priya Shah,S1002
SES-1008,2026-03-18 16:00:00,Online,Alex Rivera (Volunteer),S1006
SES-1009,2026-03-21 10:30:00,In-person,Jordan Lee,S1003
SES-1010,2026-03-27 12:00:00,Online,Priya Shah,S1007
SES-1011,2026-04-02 09:15:00,Online,Alex Rivera (Volunteer),S1001
SES-1012,2026-04-03 10:00:00,In-person,Jordan Lee,S1008
SES-1013,2026-04-07 13:30:00,Online,Priya Shah,S1002
SES-1014,2026-04-09 15:00:00,In-person,Jordan Lee,S1004
SES-1015,2026-04-14 11:00:00,Online,Alex Rivera (Volunteer),S1009
SES-1016,2026-04-20 09:00:00,In-person,Priya Shah,S1005
SES-1017,2026-04-24 14:15:00,Online,Jordan Lee,S1010
